wip,lead,prop,name
375.92091310121987,31.168850333003164,0.05,Rangatira
361.5934622084176,25.397372827110665,0.1,Whakamua
542.7898236869863,9.288402840865487,0.05,Mutunga
368.5973949181998,25.168964287634907,0.05,Rangatira
255.73638594129739,27.29146036089164,0.1,Whakamua
278.45200280131684,30.602029237828695,0.1,Whakamua
335.0952197902326,16.888706864165393,0.05,Rangatira
350.6543853547116,25.97288737640724,0.1,Whakamua
309.2267319412379,34.32956251053402,0.05,Rangatira
379.50279437345483,28.961290109964395,0.05,Rangatira
411.96977667352104,33.066356257817674,0.05,Rangatira
330.68384019687437,20.21744035419609,0.05,Rangatira
395.69301725473514,8.924973465550108,0.05,Rangatira
525.2750181516622,8.28802769683885,0.05,Mutunga
291.67629578226945,30.365516171745192,0.1,Whakamua
224.54991884343653,26.44280685324232,0.1,Whakamua
161.9407904375828,10.39264703397778,0.1,Whakamua
389.4415941423865,27.036158408967296,0.05,Rangatira
360.6182008181586,12.921616073471759,0.05,Rangatira
532.7651849155756,2.2772076364142677,0.05,Mutunga
242.80806452051846,35.825449293713845,0.1,Whakamua
304.80244498100467,23.686063485976113,0.05,Rangatira
351.8822507160646,6.535628377459066,0.05,Rangatira
394.89863696418024,17.611592340217406,0.05,Rangatira
150.0386948931503,35.24296761839941,0.1,Whakamua
